"Media","Unit sales","Gross revenue (est.)"
"Main series","327,680,000+","16371000000"
"Spin-offs","69,731,146+","3154873000"
"Arcade games","—","1711000000"
"F2P games","—","9383100000"
"Licensed merchandise","—","113705000000"
"Pokémon Trading Card Game","64,800,000,000","26000000000"
"Anime series (home video)","31,963,169+","843697287"
"Films (box office)","192,389,783+","1879075522"
"Films (home video)","6,437,957+","96378895"
"Manga magazine","302,591,702","1452000000"
"Manga volumes","7,250,000","72400000"
"Music","10,129,441+","NaN"